,personaje,fecha_hora,genero,fuente
0,NO IDENTIFICADO,2020-08-11 19:01:34,M,TN
1,NO IDENTIFICADO,2020-08-11 19:01:34,M,TN
2,NO IDENTIFICADO,2020-08-11 19:01:34,F,TN
3,NO IDENTIFICADO,2020-08-11 19:01:35,M,TN
4,NO IDENTIFICADO,2020-08-11 19:01:35,M,TN
5,NO IDENTIFICADO,2020-08-11 19:01:35,F,TN
6,NO IDENTIFICADO,2020-08-11 19:01:36,M,TN
7,NO IDENTIFICADO,2020-08-11 19:01:36,M,TN
8,NO IDENTIFICADO,2020-08-11 19:01:36,F,TN
9,NO IDENTIFICADO,2020-08-11 19:01:37,M,TN
10,NO IDENTIFICADO,2020-08-11 19:01:37,M,TN
11,NO IDENTIFICADO,2020-08-11 19:01:37,F,TN
12,NO IDENTIFICADO,2020-08-11 19:01:38,M,TN
13,NO IDENTIFICADO,2020-08-11 19:01:38,M,TN
14,NO IDENTIFICADO,2020-08-11 19:01:38,F,TN
15,NO IDENTIFICADO,2020-08-11 19:01:39,M,TN
16,NO IDENTIFICADO,2020-08-11 19:01:39,M,TN
17,NO IDENTIFICADO,2020-08-11 19:01:39,F,TN
18,NO IDENTIFICADO,2020-08-11 19:01:40,F,TN
19,NO IDENTIFICADO,2020-08-11 19:01:40,M,TN
20,NO IDENTIFICADO,2020-08-11 19:01:40,F,TN
21,NO IDENTIFICADO,2020-08-11 19:01:41,M,TN
22,NO IDENTIFICADO,2020-08-11 19:01:41,F,TN
23,NO IDENTIFICADO,2020-08-11 19:01:42,M,TN
24,diego_leuco,2020-08-11 19:01:42,M,TN
25,NO IDENTIFICADO,2020-08-11 19:01:42,F,TN
26,NO IDENTIFICADO,2020-08-11 19:01:42,M,TN
27,NO IDENTIFICADO,2020-08-11 19:01:42,F,TN
28,NO IDENTIFICADO,2020-08-11 19:01:42,M,TN
29,NO IDENTIFICADO,2020-08-11 19:01:42,F,TN
30,NO IDENTIFICADO,2020-08-11 19:01:42,F,TN
31,NO IDENTIFICADO,2020-08-11 19:01:43,M,TN
32,NO IDENTIFICADO,2020-08-11 19:01:43,F,TN
33,NO IDENTIFICADO,2020-08-11 19:01:43,M,TN
34,NO IDENTIFICADO,2020-08-11 19:01:43,M,TN
35,NO IDENTIFICADO,2020-08-11 19:01:43,F,TN
36,NO IDENTIFICADO,2020-08-11 19:01:43,F,TN
37,NO IDENTIFICADO,2020-08-11 19:01:43,F,TN
38,NO IDENTIFICADO,2020-08-11 19:01:43,F,TN
39,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:44,,TN
40,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:45,,TN
41,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:46,,TN
42,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:47,,TN
43,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:48,,TN
44,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:49,,TN
45,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:50,,TN
46,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:51,,TN
47,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:52,,TN
48,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:53,,TN
49,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:54,,TN
50,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:55,,TN
51,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:56,,TN
52,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:57,,TN
53,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:58,,TN
54,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:01:59,,TN
55,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:00,,TN
56,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:01,,TN
57,NO IDENTIFICADO,2020-08-11 19:02:02,F,TN
58,NO IDENTIFICADO,2020-08-11 19:02:03,F,TN
59,NO IDENTIFICADO,2020-08-11 19:02:04,F,TN
60,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:05,,TN
61,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:06,,TN
62,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:07,,TN
63,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:08,,TN
64,NO IDENTIFICADO,2020-08-11 19:02:09,F,TN
65,NO IDENTIFICADO,2020-08-11 19:02:10,F,TN
66,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:10,,TN
67,NO IDENTIFICADO,2020-08-11 19:02:11,F,TN
68,NO IDENTIFICADO,2020-08-11 19:02:11,M,TN
69,NO IDENTIFICADO,2020-08-11 19:02:11,F,TN
70,NO IDENTIFICADO,2020-08-11 19:02:12,F,TN
71,NO IDENTIFICADO,2020-08-11 19:02:12,F,TN
72,nicolas_winazki,2020-08-11 19:02:12,M,TN
73,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:13,,TN
74,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:14,,TN
75,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:15,,TN
76,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:16,,TN
77,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:17,,TN
78,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:18,,TN
79,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:19,,TN
80,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:20,,TN
81,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:21,,TN
82,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:22,,TN
83,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:23,,TN
84,NO IDENTIFICADO,2020-08-11 19:02:24,F,TN
85,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:24,,TN
86,NO IDENTIFICADO,2020-08-11 19:02:24,F,TN
87,NO IDENTIFICADO,2020-08-11 19:02:25,F,TN
88,NO IDENTIFICADO,2020-08-11 19:02:25,F,TN
89,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:25,,TN
90,NO IDENTIFICADO,2020-08-11 19:02:26,F,TN
91,NO IDENTIFICADO,2020-08-11 19:02:26,M,TN
92,NO IDENTIFICADO,2020-08-11 19:02:26,M,TN
93,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:27,,TN
94,NO IDENTIFICADO,2020-08-11 19:02:27,F,TN
95,NO IDENTIFICADO,2020-08-11 19:02:27,M,TN
96,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:27,,TN
97,NO IDENTIFICADO,2020-08-11 19:02:28,F,TN
98,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:28,,TN
99,NO IDENTIFICADO,2020-08-11 19:02:28,M,TN
100,NO IDENTIFICADO,2020-08-11 19:02:29,F,TN
101,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:29,,TN
102,NO IDENTIFICADO,2020-08-11 19:02:29,M,TN
103,NO IDENTIFICADO,2020-08-11 19:02:30,F,TN
104,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:30,,TN
105,NO IDENTIFICADO,2020-08-11 19:02:30,M,TN
106,NO IDENTIFICADO,2020-08-11 19:02:31,F,TN
107,NO IDENTIFICADO,2020-08-11 19:02:31,M,TN
108,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:31,,TN
109,NO IDENTIFICADO,2020-08-11 19:02:32,M,TN
110,NO IDENTIFICADO,2020-08-11 19:02:32,F,TN
111,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:32,,TN
112,NO IDENTIFICADO,2020-08-11 19:02:33,F,TN
113,NO IDENTIFICADO,2020-08-11 19:02:33,M,TN
114,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:33,,TN
115,NO IDENTIFICADO,2020-08-11 19:02:34,F,TN
116,NO IDENTIFICADO,2020-08-11 19:02:34,M,TN
117,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:34,,TN
118,NO IDENTIFICADO,2020-08-11 19:02:35,F,TN
119,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:35,,TN
120,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:35,,TN
121,NO IDENTIFICADO,2020-08-11 19:02:36,F,TN
122,NO IDENTIFICADO,2020-08-11 19:02:36,M,TN
123,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:36,,TN
124,NO IDENTIFICADO,2020-08-11 19:02:37,F,TN
125,NO IDENTIFICADO,2020-08-11 19:02:37,M,TN
126,NO IDENTIFICADO,2020-08-11 19:02:37,M,TN
127,NO IDENTIFICADO,2020-08-11 19:02:38,M,TN
128,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:38,,TN
129,NO IDENTIFICADO,2020-08-11 19:02:38,F,TN
130,NO IDENTIFICADO,2020-08-11 19:02:39,M,TN
131,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:39,,TN
132,NO IDENTIFICADO,2020-08-11 19:02:39,F,TN
133,NO IDENTIFICADO,2020-08-11 19:02:40,M,TN
134,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:02:40,,TN
135,NO IDENTIFICADO,2020-08-11 19:02:40,F,TN
136,NO IDENTIFICADO,2020-08-11 19:02:41,F,TN
