,personaje,fecha_hora,genero,file,fuente
0,NO IDENTIFICADO,2020-08-17 19:00:08,M,TN2020-08-17-19-00-08.mp4,TN
1,NO IDENTIFICADO,2020-08-17 19:00:09,M,TN2020-08-17-19-00-08.mp4,TN
2,nelson_castro,2020-08-17 19:00:10,M,TN2020-08-17-19-00-08.mp4,TN
3,nelson_castro,2020-08-17 19:00:11,M,TN2020-08-17-19-00-08.mp4,TN
4,NO IDENTIFICADO,2020-08-17 19:00:11,M,TN2020-08-17-19-00-08.mp4,TN
5,nelson_castro,2020-08-17 19:00:12,M,TN2020-08-17-19-00-08.mp4,TN
6,hernan_lombardi,2020-08-17 19:00:12,M,TN2020-08-17-19-00-08.mp4,TN
7,jorge_lanata,2020-08-17 19:00:13,M,TN2020-08-17-19-00-08.mp4,TN
8,NO IDENTIFICADO,2020-08-17 19:00:14,M,TN2020-08-17-19-00-08.mp4,TN
9,NO IDENTIFICADO,2020-08-17 19:00:14,M,TN2020-08-17-19-00-08.mp4,TN
10,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:14,,TN2020-08-17-19-00-08.mp4,TN
11,nelson_castro,2020-08-17 19:00:15,M,TN2020-08-17-19-00-08.mp4,TN
12,nelson_castro,2020-08-17 19:00:16,M,TN2020-08-17-19-00-08.mp4,TN
13,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:16,,TN2020-08-17-19-00-08.mp4,TN
14,nelson_castro,2020-08-17 19:00:17,M,TN2020-08-17-19-00-08.mp4,TN
15,NO IDENTIFICADO,2020-08-17 19:00:18,M,TN2020-08-17-19-00-08.mp4,TN
16,NO IDENTIFICADO,2020-08-17 19:00:18,M,TN2020-08-17-19-00-08.mp4,TN
17,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:18,,TN2020-08-17-19-00-08.mp4,TN
18,NO IDENTIFICADO,2020-08-17 19:00:19,M,TN2020-08-17-19-00-08.mp4,TN
19,NO IDENTIFICADO,2020-08-17 19:00:19,M,TN2020-08-17-19-00-08.mp4,TN
20,NO IDENTIFICADO,2020-08-17 19:00:20,M,TN2020-08-17-19-00-08.mp4,TN
21,NO IDENTIFICADO,2020-08-17 19:00:21,M,TN2020-08-17-19-00-08.mp4,TN
22,NO IDENTIFICADO,2020-08-17 19:00:22,M,TN2020-08-17-19-00-08.mp4,TN
23,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:23,,TN2020-08-17-19-00-08.mp4,TN
24,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:24,,TN2020-08-17-19-00-08.mp4,TN
25,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:25,,TN2020-08-17-19-00-08.mp4,TN
26,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:26,,TN2020-08-17-19-00-08.mp4,TN
27,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:27,,TN2020-08-17-19-00-08.mp4,TN
28,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:28,,TN2020-08-17-19-00-08.mp4,TN
29,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:29,,TN2020-08-17-19-00-08.mp4,TN
30,NO IDENTIFICADO,2020-08-17 19:00:30,F,TN2020-08-17-19-00-08.mp4,TN
31,NO IDENTIFICADO,2020-08-17 19:00:30,F,TN2020-08-17-19-00-08.mp4,TN
32,sergio_berni,2020-08-17 19:00:31,M,TN2020-08-17-19-00-08.mp4,TN
33,NO IDENTIFICADO,2020-08-17 19:00:31,F,TN2020-08-17-19-00-08.mp4,TN
34,NO IDENTIFICADO,2020-08-17 19:00:31,M,TN2020-08-17-19-00-08.mp4,TN
35,graciela_ciccia,2020-08-17 19:00:32,F,TN2020-08-17-19-00-08.mp4,TN
36,NO IDENTIFICADO,2020-08-17 19:00:32,F,TN2020-08-17-19-00-08.mp4,TN
37,NO IDENTIFICADO,2020-08-17 19:00:33,F,TN2020-08-17-19-00-08.mp4,TN
38,NO IDENTIFICADO,2020-08-17 19:00:34,F,TN2020-08-17-19-00-08.mp4,TN
39,NO IDENTIFICADO,2020-08-17 19:00:34,F,TN2020-08-17-19-00-08.mp4,TN
40,graciela_ciccia,2020-08-17 19:00:35,F,TN2020-08-17-19-00-08.mp4,TN
41,NO IDENTIFICADO,2020-08-17 19:00:35,M,TN2020-08-17-19-00-08.mp4,TN
42,NO IDENTIFICADO,2020-08-17 19:00:36,F,TN2020-08-17-19-00-08.mp4,TN
43,NO IDENTIFICADO,2020-08-17 19:00:36,M,TN2020-08-17-19-00-08.mp4,TN
44,NO IDENTIFICADO,2020-08-17 19:00:37,F,TN2020-08-17-19-00-08.mp4,TN
45,NO IDENTIFICADO,2020-08-17 19:00:37,F,TN2020-08-17-19-00-08.mp4,TN
46,NO IDENTIFICADO,2020-08-17 19:00:38,F,TN2020-08-17-19-00-08.mp4,TN
47,NO IDENTIFICADO,2020-08-17 19:00:38,M,TN2020-08-17-19-00-08.mp4,TN
48,NO IDENTIFICADO,2020-08-17 19:00:39,F,TN2020-08-17-19-00-08.mp4,TN
49,lucia_salinas,2020-08-17 19:00:39,F,TN2020-08-17-19-00-08.mp4,TN
50,NO IDENTIFICADO,2020-08-17 19:00:40,F,TN2020-08-17-19-00-08.mp4,TN
51,NO IDENTIFICADO,2020-08-17 19:00:40,M,TN2020-08-17-19-00-08.mp4,TN
52,NO IDENTIFICADO,2020-08-17 19:00:41,F,TN2020-08-17-19-00-08.mp4,TN
53,NO IDENTIFICADO,2020-08-17 19:00:41,M,TN2020-08-17-19-00-08.mp4,TN
54,NO IDENTIFICADO,2020-08-17 19:00:42,F,TN2020-08-17-19-00-08.mp4,TN
55,NO IDENTIFICADO,2020-08-17 19:00:42,M,TN2020-08-17-19-00-08.mp4,TN
56,NO IDENTIFICADO,2020-08-17 19:00:43,F,TN2020-08-17-19-00-08.mp4,TN
57,NO IDENTIFICADO,2020-08-17 19:00:43,F,TN2020-08-17-19-00-08.mp4,TN
58,NO IDENTIFICADO,2020-08-17 19:00:44,F,TN2020-08-17-19-00-08.mp4,TN
59,NO IDENTIFICADO,2020-08-17 19:00:45,F,TN2020-08-17-19-00-08.mp4,TN
60,NO IDENTIFICADO,2020-08-17 19:00:45,M,TN2020-08-17-19-00-08.mp4,TN
61,NO IDENTIFICADO,2020-08-17 19:00:46,F,TN2020-08-17-19-00-08.mp4,TN
62,NO IDENTIFICADO,2020-08-17 19:00:46,M,TN2020-08-17-19-00-08.mp4,TN
63,NO IDENTIFICADO,2020-08-17 19:00:47,F,TN2020-08-17-19-00-08.mp4,TN
64,NO IDENTIFICADO,2020-08-17 19:00:47,F,TN2020-08-17-19-00-08.mp4,TN
65,NO IDENTIFICADO,2020-08-17 19:00:48,F,TN2020-08-17-19-00-08.mp4,TN
66,NO IDENTIFICADO,2020-08-17 19:00:48,F,TN2020-08-17-19-00-08.mp4,TN
67,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:49,,TN2020-08-17-19-00-08.mp4,TN
68,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:50,,TN2020-08-17-19-00-08.mp4,TN
69,SIN PERSONAS IDENTIFICABLES,2020-08-17 19:00:51,,TN2020-08-17-19-00-08.mp4,TN
