,personaje,fecha_hora
0,diego_leuco,2020-08-06 22:00:00
1,diego_leuco,2020-08-06 22:00:01
2,diego_leuco,2020-08-06 22:00:02
3,diego_leuco,2020-08-06 22:00:03
4,diego_leuco,2020-08-06 22:00:04
5,diego_leuco,2020-08-06 22:00:05
6,diego_leuco,2020-08-06 22:00:06
7,diego_leuco,2020-08-06 22:00:07
8,NO IDENTIFICADO,2020-08-06 22:00:08
9,diego_leuco,2020-08-06 22:00:09
10,diego_leuco,2020-08-06 22:00:10
11,diego_leuco,2020-08-06 22:00:11
12,diego_leuco,2020-08-06 22:00:12
13,diego_leuco,2020-08-06 22:00:13
14,diego_leuco,2020-08-06 22:00:14
15,diego_leuco,2020-08-06 22:00:15
16,diego_leuco,2020-08-06 22:00:16
17,diego_leuco,2020-08-06 22:00:17
18,diego_leuco,2020-08-06 22:00:18
19,diego_leuco,2020-08-06 22:00:19
20,diego_leuco,2020-08-06 22:00:20
21,diego_leuco,2020-08-06 22:00:21
22,diego_leuco,2020-08-06 22:00:22
23,diego_leuco,2020-08-06 22:00:23
24,diego_leuco,2020-08-06 22:00:24
25,diego_leuco,2020-08-06 22:00:25
26,NO IDENTIFICADO,2020-08-06 22:00:26
27,diego_leuco,2020-08-06 22:00:27
28,NO IDENTIFICADO,2020-08-06 22:00:28
29,diego_leuco,2020-08-06 22:00:29
30,diego_leuco,2020-08-06 22:00:30
31,rolando_barbano,2020-08-06 22:00:31
32,rolando_barbano,2020-08-06 22:00:32
33,rolando_barbano,2020-08-06 22:00:33
34,rolando_barbano,2020-08-06 22:00:34
35,diego_leuco,2020-08-06 22:00:35
36,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:00:36
37,NO IDENTIFICADO,2020-08-06 22:00:37
38,carolina_piparo,2020-08-06 22:00:38
39,carolina_piparo,2020-08-06 22:00:39
40,carolina_piparo,2020-08-06 22:00:40
41,carolina_piparo,2020-08-06 22:00:41
42,NO IDENTIFICADO,2020-08-06 22:00:42
43,NO IDENTIFICADO,2020-08-06 22:00:43
44,NO IDENTIFICADO,2020-08-06 22:00:44
45,NO IDENTIFICADO,2020-08-06 22:00:45
46,carolina_piparo,2020-08-06 22:00:46
47,diego_leuco,2020-08-06 22:00:47
48,diego_leuco,2020-08-06 22:00:48
49,diego_leuco,2020-08-06 22:00:49
50,diego_leuco,2020-08-06 22:00:50
51,carolina_piparo,2020-08-06 22:00:51
52,carolina_piparo,2020-08-06 22:00:52
53,carolina_piparo,2020-08-06 22:00:53
54,carolina_piparo,2020-08-06 22:00:54
55,NO IDENTIFICADO,2020-08-06 22:00:55
56,NO IDENTIFICADO,2020-08-06 22:00:56
57,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:00:57
58,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:00:58
59,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:00:59
60,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:00
61,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:01
62,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:02
63,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:03
64,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:04
65,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:05
66,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:06
67,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:07
68,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:08
69,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:09
70,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:10
71,diego_leuco,2020-08-06 22:01:11
72,diego_leuco,2020-08-06 22:01:12
73,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:13
74,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:14
75,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:15
76,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:16
77,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:17
78,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:18
79,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:19
80,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:20
81,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:21
82,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:22
83,santiago_fioriti,2020-08-06 22:01:23
84,santiago_fioriti,2020-08-06 22:01:24
85,santiago_fioriti,2020-08-06 22:01:25
86,santiago_fioriti,2020-08-06 22:01:26
87,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:27
88,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:28
89,santiago_fioriti,2020-08-06 22:01:29
90,santiago_fioriti,2020-08-06 22:01:30
91,santiago_fioriti,2020-08-06 22:01:31
92,santiago_fioriti,2020-08-06 22:01:32
93,santiago_fioriti,2020-08-06 22:01:33
94,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:34
95,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:35
96,santiago_fioriti,2020-08-06 22:01:36
97,santiago_fioriti,2020-08-06 22:01:37
98,santiago_fioriti,2020-08-06 22:01:38
99,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:39
100,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:40
101,SIN PERSONAS IDENTIFICABLES,2020-08-06 22:01:41
102,santiago_fioriti,2020-08-06 22:01:42
